curr_code,weight_total,weight_init,imf_factor
1INCH,0.9,0.85,0.0005
AAPL,0.9,0.85,0.005
AAVE,0.9,0.85,0.0025
ABNB,0.9,0.85,0.005
ACB,0.9,0.85,0.0025
ALPHA,0.9,0.85,0.00025
AMC,0.9,0.85,0.0025
AMD,0.9,0.85,0.005
AMZN,0.9,0.85,0.03
APHA,0.9,0.85,0.001
ARKK,0.9,0.85,0.005
AUD,0.99,0.98,1e-05
BABA,0.9,0.85,0.01
BADGER,0.85,0.8,0.0025
BAND,0.85,0.8,0.001
BAO,0.85,0.8,2.5e-05
BB,0.9,0.85,0.0025
BCH,0.95,0.9,0.0008
BILI,0.9,0.85,0.005
BITW,0.9,0.85,0.005
BNB,0.95,0.9,0.0005
BNT,0.9,0.85,0.0025
BNTX,0.9,0.85,0.005
BRL,0.99,0.98,1e-05
BRZ,0.99,0.98,1e-05
BTC,0.975,0.95,0.002
BUSD,1.0,1.0,0.0
BVOL,0.85,0.8,0.005
BYND,0.9,0.85,0.0075
CAD,0.99,0.98,1e-05
CEL,0.85,0.8,0.001
CGC,0.9,0.85,0.0025
COIN,0.85,0.8,0.01
COMP,0.9,0.85,0.002
COPE,0.6,0.55,0.02
CRON,0.9,0.85,0.001
CUSDT,0.9,0.85,1e-05
DAI,0.9,0.85,5e-05
DOGE,0.95,0.9,2e-05
ETH,0.95,0.9,0.0004
ETHE,0.9,0.85,0.0025
EUR,0.99,0.98,1e-05
FB,0.9,0.85,0.01
FIDA,0.85,0.8,0.001
FTM,0.85,0.8,0.0005
FTT,0.95,0.95,0.0005
GBP,0.99,0.98,1e-05
GBTC,0.9,0.85,0.0025
GDX,0.9,0.85,0.0025
GDXJ,0.9,0.85,0.005
GLD,0.9,0.85,0.005
GLXY,0.9,0.85,0.005
GME,0.9,0.85,0.005
GOOGL,0.9,0.85,0.025
GRT,0.9,0.85,0.00025
HOLY,0.9,0.85,0.0005
HOOD,0.85,0.8,0.005
HT,0.9,0.85,0.0003
HUSD,1.0,1.0,0.0
HXRO,0.85,0.8,0.001
IBVOL,0.85,0.8,0.015
KIN,0.85,0.8,8e-06
KNC,0.95,0.9,0.001
LEO,0.85,0.8,0.001
LINK,0.95,0.9,0.0004
LRC,0.85,0.8,0.0005
LTC,0.95,0.9,0.0004
MATIC,0.85,0.8,4e-05
MKR,0.9,0.85,0.007
MOB,0.6,0.55,0.005
MRNA,0.9,0.85,0.005
MSOL,0.9,0.85,0.0004
MSTR,0.9,0.85,0.008
NFLX,0.9,0.85,0.01
NIO,0.9,0.85,0.004
NOK,0.9,0.85,0.001
NVDA,0.9,0.85,0.01
OKB,0.9,0.85,0.0003
OMG,0.85,0.8,0.001
PAXG,0.95,0.9,0.002
PENN,0.9,0.85,0.005
PFE,0.9,0.85,0.004
PYPL,0.9,0.85,0.008
RAY,0.85,0.8,0.0005
REN,0.9,0.85,0.00025
RSR,0.85,0.8,0.0001
RUNE,0.85,0.8,0.001
SECO,0.9,0.85,0.0005
SGD,0.99,0.98,1e-05
SLV,0.9,0.85,0.0025
SNX,0.85,0.8,0.001
SOL,0.9,0.85,0.0004
SPY,0.9,0.85,0.01
SQ,0.9,0.85,0.008
SRM,0.9,0.85,0.0005
STETH,0.9,0.85,0.0012
STSOL,0.9,0.85,0.0004
SUSHI,0.95,0.9,0.001
SXP,0.9,0.85,0.0005
TLRY,0.9,0.85,0.001
TOMO,0.85,0.8,0.0005
TRX,0.9,0.85,1e-05
TRYB,0.9,0.85,1e-05
TSLA,0.9,0.85,0.01
TSM,0.9,0.85,0.015
TUSD,1.0,1.0,0.0
TWTR,0.9,0.85,0.004
UBER,0.9,0.85,0.004
UNI,0.95,0.9,0.001
USD,1.0,1.0,0.0
USDC,1.0,1.0,0.0
USDT,0.975,0.95,1e-05
USO,0.9,0.85,0.0025
WBTC,0.975,0.95,0.005
XAUT,0.95,0.9,0.002
XRP,0.95,0.9,2e-05
YFI,0.9,0.85,0.015
ZM,0.9,0.85,0.01
ZRX,0.85,0.8,0.001
