curr_code,name,leveraged,is_index,weight_total,weight_init,imf_factor
1INCH,1INCH Token,False,False,0.9,0.85,0.0005
AAPL,Apple,False,False,0.9,0.85,0.005
AAVE,Aave,False,False,0.9,0.85,0.0025
ABNB,Airbnb,False,False,0.9,0.85,0.005
ACB,Aurora Cannabis Inc,False,False,0.9,0.85,0.0025
ADA,Cardano,False,False,0.0,0.0,
ADABEAR,3X Short Cardano Token,True,False,0.0,0.0,
ADABULL,3X Long Cardano Token,True,False,0.0,0.0,
ADADOOM,10X Short Cardano Token,True,False,0.0,0.0,
ADAHALF,0.5X Long Cardano Token,True,False,0.0,0.0,
ADAHEDGE,1X Short Cardano Token,True,False,0.0,0.0,
ADAMOON,10X Long Cardano Token,True,False,0.0,0.0,
AFCWIN-SB-2021,American Football Conference Wins Superbowl 2021 Token,False,False,0.0,0.0,
AGLD,Adventure Gold,False,False,0.0,0.0,
AKRO,Akropolis,False,False,0.0,0.0,
ALCX,Alchemix,False,False,0.0,0.0,
ALEPH,Aleph.im,False,False,0.0,0.0,
ALGO,Algorand,False,False,0.0,0.0,
ALGOBEAR,3X Short Algorand Token,True,False,0.0,0.0,
ALGOBULL,3X Long Algorand Token,True,False,0.0,0.0,
ALGODOOM,10X Short Algorand Token,True,False,0.0,0.0,
ALGOHALF,0.5X Long Algorand Token,True,False,0.0,0.0,
ALGOHEDGE,1X Short Algorand Token,True,False,0.0,0.0,
ALGOMOON,10X Long Algorand Token,True,False,0.0,0.0,
ALICE,MyNeighborAlice,False,False,0.0,0.0,
ALPHA,Alpha Finance,False,False,0.9,0.85,0.00025
ALT,Altcoin Index,False,True,0.0,0.0,
ALTBEAR,3X Short Altcoin Index Token,True,True,0.0,0.0,
ALTBULL,3X Long Altcoin Index Token,True,True,0.0,0.0,
ALTDOOM,10X Short Altcoin Index Token,True,True,0.0,0.0,
ALTHALF,0.5X Long Altcoin Index Token,True,True,0.0,0.0,
ALTHEDGE,1X Short Altcoin Index Token,True,True,0.0,0.0,
ALTMOON,10X Long Altcoin Index Token,True,True,0.0,0.0,
AMC,AMC Entertainment Holdings,False,False,0.9,0.85,0.0025
AMD,Advanced Micro Devices,False,False,0.9,0.85,0.005
AMPL,Ampleforth,False,False,0.0,0.0,
AMZN,Amazon,False,False,0.9,0.85,0.03
APHA,Aphria Inc,False,False,0.9,0.85,0.001
AR,Arweave,False,False,0.0,0.0,
ARKK,ARK Innovation ETF,False,False,0.9,0.85,0.005
ASD,AscendEx Token (BTMX),False,False,0.0,0.0,
ASDBEAR,3X Short AscendEx Token (BTMX) Token,True,False,0.0,0.0,
ASDBULL,3X Long AscendEx Token (BTMX) Token,True,False,0.0,0.0,
ASDDOOM,10X Short AscendEx Token (BTMX) Token,True,False,0.0,0.0,
ASDHALF,0.5X Long AscendEx Token (BTMX) Token,True,False,0.0,0.0,
ASDHEDGE,1X Short AscendEx Token (BTMX) Token,True,False,0.0,0.0,
ASDMOON,10X Long AscendEx Token (BTMX) Token,True,False,0.0,0.0,
ATLAS,Atlas,False,False,0.0,0.0,
ATOM,Cosmos,False,False,0.0,0.0,
ATOMBEAR,3X Short Cosmos Token,True,False,0.0,0.0,
ATOMBULL,3X Long Cosmos Token,True,False,0.0,0.0,
ATOMDOOM,10X Short Cosmos Token,True,False,0.0,0.0,
ATOMHALF,0.5X Long Cosmos Token,True,False,0.0,0.0,
ATOMHEDGE,1X Short Cosmos Token,True,False,0.0,0.0,
ATOMMOON,10X Long Cosmos Token,True,False,0.0,0.0,
AUD,Australian Dollar,False,False,0.99,0.98,1e-05
AUDIO,Audius,False,False,0.0,0.0,
AURY,Aurory,False,False,0.0,0.0,
AVAX,Avalanche,False,False,0.0,0.0,
AXS,Axie Infinity,False,False,0.0,0.0,
BABA,Alibaba,False,False,0.9,0.85,0.01
