symbol,active,base,quote,future,perpetual,type,is_index
1INCH-1231,True,1INCH,USD,True,False,future,False
1INCH-PERP,True,1INCH,USD,True,True,perpetual,False
1INCH/USD,True,1INCH,USD,False,False,spot,False
AAVE-1231,True,AAVE,USD,True,False,future,False
AAVE-PERP,True,AAVE,USD,True,True,perpetual,False
AAVE/USD,True,AAVE,USD,False,False,spot,False
AAVE/USDT,True,AAVE,USDT,False,False,spot,False
ADA-1231,True,ADA,USD,True,False,future,False
ADA-PERP,True,ADA,USD,True,True,perpetual,False
AGLD-PERP,True,AGLD,USD,True,True,perpetual,False
AGLD/USD,True,AGLD,USD,False,False,spot,False
AKRO/USD,True,AKRO,USD,False,False,spot,False
AKRO/USDT,True,AKRO,USDT,False,False,spot,False
ALCX-PERP,True,ALCX,USD,True,True,perpetual,False
ALCX/USD,True,ALCX,USD,False,False,spot,False
ALEPH/USD,True,ALEPH,USD,False,False,spot,False
ALGO-1231,True,ALGO,USD,True,False,future,False
ALGO-PERP,True,ALGO,USD,True,True,perpetual,False
ALICE-PERP,True,ALICE,USD,True,True,perpetual,False
ALICE/USD,True,ALICE,USD,False,False,spot,False
ALPHA-PERP,True,ALPHA,USD,True,True,perpetual,False
ALPHA/USD,True,ALPHA,USD,False,False,spot,False
ALT-1231,True,ALT,USD,True,False,future,True
ALT-PERP,True,ALT,USD,True,True,perpetual,True
AMPL-PERP,True,AMPL,USD,True,True,perpetual,False
AMPL/USD,True,AMPL,USD,False,False,spot,False
AMPL/USDT,True,AMPL,USDT,False,False,spot,False
AR-PERP,True,AR,USD,True,True,perpetual,False
ASD-PERP,True,ASD,USD,True,True,perpetual,False
ASD/USD,True,ASD,USD,False,False,spot,False
ATLAS-PERP,True,ATLAS,USD,True,True,perpetual,False
ATLAS/USD,True,ATLAS,USD,False,False,spot,False
ATOM-1231,True,ATOM,USD,True,False,future,False
ATOM-PERP,True,ATOM,USD,True,True,perpetual,False
AUDIO-PERP,True,AUDIO,USD,True,True,perpetual,False
AUDIO/USD,True,AUDIO,USD,False,False,spot,False
AUDIO/USDT,True,AUDIO,USDT,False,False,spot,False
AURY/USD,True,AURY,USD,False,False,spot,False
AVAX-1231,True,AVAX,USD,True,False,future,False
AVAX-PERP,True,AVAX,USD,True,True,perpetual,False
AXS-PERP,True,AXS,USD,True,True,perpetual,False
AXS/USD,True,AXS,USD,False,False,spot,False
BADGER-PERP,True,BADGER,USD,True,True,perpetual,False
BADGER/USD,True,BADGER,USD,False,False,spot,False
BAL-1231,True,BAL,USD,True,False,future,False
BAL-PERP,True,BAL,USD,True,True,perpetual,False
BAL/USD,True,BAL,USD,False,False,spot,False
BAL/USDT,True,BAL,USDT,False,False,spot,False
BAND-PERP,True,BAND,USD,True,True,perpetual,False
BAND/USD,True,BAND,USD,False,False,spot,False
BAO-PERP,True,BAO,USD,True,True,perpetual,False
BAO/USD,True,BAO,USD,False,False,spot,False
BAR/USD,True,BAR,USD,False,False,spot,False
BAT-PERP,True,BAT,USD,True,True,perpetual,False
BAT/USD,True,BAT,USD,False,False,spot,False
